UF,Sigla,CódigoIBGE,População,Região
Acre,AC,12,881935,Norte
Alagoas,AL,27,3337357,Nordeste
Amapá,AP,16,845731,Norte
Amazonas,AM,13,4144597,Norte
Bahia,BA,29,14873064,Nordeste
Ceará,CE,23,9132078,Nordeste
Distrito Federal,DF,53,3015268,Centro-Oeste
Espírito Santo,ES,32,4018650,Sudeste
Goiás,GO,52,7018354,Centro-Oeste
Maranhão,MA,21,7075181,Nordeste
Mato Grosso,MT,51,3484466,Centro-Oeste
Mato Grosso do Sul,MS,50,2778986,Centro-Oeste
Minas Gerais,MG,31,21168791,Sudeste
Pará,PA,15,8602865,Norte
Paraíba,PB,25,4018127,Nordeste
Paraná,PR,41,11433957,Sul
Pernambuco,PE,26,9557071,Nordeste
Piauí,PI,22,3273227,Nordeste
Rio de Janeiro,RJ,33,17264943,Sudeste
Rio Grande do Norte,RN,24,3506853,Nordeste
Rio Grande do Sul,RS,43,11377239,Sul
Rondônia,RO,11,1777225,Norte
Roraima,RR,14,605761,Norte
Santa Catarina,SC,42,7164788,Sul
São Paulo,SP,35,45919049,Sudeste
Sergipe,SE,28,2298696,Nordeste
Tocantins,TO,17,1572866,Norte
